"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002507","GO:0002507","tolerance induction","4/72","31/18903",5.63135866818031e-06,6.14184362062105e-05,2.84098068882524e-05,"LGALS9/HLA-B/HLA-E/ICOS",4
"GO:0017145","GO:0017145","stem cell division","4/72","31/18903",5.63135866818031e-06,6.14184362062105e-05,2.84098068882524e-05,"TGFB2/FZD7/KIT/NOTCH1",4
"GO:0061311","GO:0061311","cell surface receptor signaling pathway involved in heart development","4/72","31/18903",5.63135866818031e-06,6.14184362062105e-05,2.84098068882524e-05,"WNT11/JAG1/NOTCH1/NOTCH2",4
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","9/72","341/18903",5.70333334476593e-06,6.195159256683e-05,2.86564245194078e-05,"ICOSLG/HLA-A/HLA-DQB1/HLA-DRB1/KIT/CD40/CD8A/CD8B/KLRK1",9
"GO:0002286","GO:0002286","T cell activation involved in immune response","6/72","118/18903",5.81391556902901e-06,6.26455239827503e-05,2.89774105089207e-05,"TNFSF4/LGALS9/ICAM1/HLA-DRA/HLA-DRB1/CD74",6
"GO:0050830","GO:0050830","defense response to Gram-positive bacterium","6/72","118/18903",5.81391556902901e-06,6.26455239827503e-05,2.89774105089207e-05,"IL1B/HLA-A/HLA-E/CD36/EPHA2/KLRK1",6
"GO:0002704","GO:0002704","negative regulation of leukocyte mediated immunity","5/72","68/18903",6.02295695782231e-06,6.46383740713491e-05,2.98992263295684e-05,"LGALS9/HLA-A/HLA-B/HLA-E/CCR2",5
"GO:0007219","GO:0007219","Notch signaling pathway","7/72","183/18903",6.15699913378354e-06,6.55524947457986e-05,3.03220634032197e-05,"TGFB2/APP/JAG1/KIT/NOTCH1/NOTCH2/NOTCH3",7
"GO:0097696","GO:0097696","receptor signaling pathway via STAT","7/72","183/18903",6.15699913378354e-06,6.55524947457986e-05,3.03220634032197e-05,"EGF/IGF1/IL10/CCR2/KIT/CD40/NOTCH1",7
"GO:0002361","GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","3/72","10/18903",6.2375636761885e-06,6.56289542871127e-05,3.03574306469608e-05,"LGALS9/HLA-DRA/HLA-DRB1",3
"GO:0045657","GO:0045657","positive regulation of monocyte differentiation","3/72","10/18903",6.2375636761885e-06,6.56289542871127e-05,3.03574306469608e-05,"HLA-DRB1/CD74/CD4",3
"GO:0062042","GO:0062042","regulation of cardiac epithelial to mesenchymal transition","3/72","10/18903",6.2375636761885e-06,6.56289542871127e-05,3.03574306469608e-05,"TGFB2/JAG1/NOTCH1",3
"GO:0010721","GO:0010721","negative regulation of cell development","7/72","188/18903",7.34737957854319e-06,7.700398206731e-05,3.5619081098283e-05,"IGF1/IL1A/IL1B/SPP1/CDH1/EFNA5/NOTCH1",7
"GO:0071675","GO:0071675","regulation of mononuclear cell migration","6/72","123/18903",7.38628242431503e-06,7.71104892779659e-05,3.56683472384494e-05,"CCL7/LGALS9/THBS1/APP/CCR2/KLRK1",6
"GO:0048568","GO:0048568","embryonic organ development","10/72","449/18903",7.43634941298798e-06,7.7332269283127e-05,3.57709341408112e-05,"TGFB2/WNT11/IL10/KITLG/EFNA1/EGFR/KIT/EPHA2/NOTCH1/NOTCH2",10
"GO:0060411","GO:0060411","cardiac septum morphogenesis","5/72","72/18903",7.98931269158569e-06,8.2761876260712e-05,3.8282461545944e-05,"TGFB2/WNT11/JAG1/NOTCH1/NOTCH2",5
"GO:0032743","GO:0032743","positive regulation of interleukin-2 production","4/72","34/18903",8.22869948056974e-06,8.42656515510252e-05,3.89780501711198e-05,"IL1A/IL1B/CCR2/CD4",4
"GO:0060317","GO:0060317","cardiac epithelial to mesenchymal transition","4/72","34/18903",8.22869948056974e-06,8.42656515510252e-05,3.89780501711198e-05,"TGFB2/EFNA1/JAG1/NOTCH1",4
"GO:1905207","GO:1905207","regulation of cardiocyte differentiation","4/72","34/18903",8.22869948056974e-06,8.42656515510252e-05,3.89780501711198e-05,"TGFB2/EFNB2/FZD7/EGFR",4
"GO:0061314","GO:0061314","Notch signaling involved in heart development","3/72","11/18903",8.55318957959698e-06,8.72555423652422e-05,4.03610586925949e-05,"JAG1/NOTCH1/NOTCH2",3
"GO:0002237","GO:0002237","response to molecule of bacterial origin","9/72","360/18903",8.82264521143215e-06,8.96634738722442e-05,4.14748752164215e-05,"IL10/IL1A/IL1B/TNFSF4/LGALS9/EFNB2/CD36/KLRK1/NOTCH1",9
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","6/72","127/18903",8.87850258057352e-06,8.98906506553915e-05,4.15799584607594e-05,"CCL7/LGALS9/THBS1/CCR2/CD74/KLRK1",6
"GO:0031348","GO:0031348","negative regulation of defense response","8/72","272/18903",8.94980919227982e-06,9.02719476048374e-05,4.17563317677005e-05,"IGF1/IL10/LGALS9/CDH5/HLA-A/HLA-B/HLA-E/HLA-DRB1",8
"GO:0042267","GO:0042267","natural killer cell mediated cytotoxicity","5/72","74/18903",9.14414722588974e-06,9.18866929103453e-05,4.25032508548157e-05,"LGALS9/HLA-A/HLA-B/HLA-E/KLRK1",5
"GO:0043372","GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","4/72","35/18903",9.26378721452122e-06,9.27415712558225e-05,4.28986847051081e-05,"TNFSF4/LGALS9/HLA-DRA/HLA-DRB1",4
"GO:0032872","GO:0032872","regulation of stress-activated MAPK cascade","7/72","195/18903",9.33027479911759e-06,9.30599527361803e-05,4.30459557353146e-05,"TGFB2/IL1A/IL1B/APP/FZD7/EGFR/CD27",7
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","10/72","464/18903",9.90517132288973e-06,9.84280542937523e-05,4.55290330981949e-05,"CCL7/IL1B/TNFSF4/LGALS9/THBS1/APP/HLA-E/CCR2/CD74/KLRK1",10
"GO:0032612","GO:0032612","interleukin-1 production","6/72","130/18903",1.01507705124606e-05,9.90346083088432e-05,4.58096016619754e-05,"IGF1/IL10/LGALS9/APP/IL1R2/CD36",6
"GO:0032652","GO:0032652","regulation of interleukin-1 production","6/72","130/18903",1.01507705124606e-05,9.90346083088432e-05,4.58096016619754e-05,"IGF1/IL10/LGALS9/APP/IL1R2/CD36",6
"GO:0032874","GO:0032874","positive regulation of stress-activated MAPK cascade","6/72","130/18903",1.01507705124606e-05,9.90346083088432e-05,4.58096016619754e-05,"TGFB2/IL1A/IL1B/APP/FZD7/CD27",6
"GO:0071621","GO:0071621","granulocyte chemotaxis","6/72","130/18903",1.01507705124606e-05,9.90346083088432e-05,4.58096016619754e-05,"TGFB2/CCL7/IL1B/THBS1/ITGB2/CD74",6
"GO:1990266","GO:1990266","neutrophil migration","6/72","130/18903",1.01507705124606e-05,9.90346083088432e-05,4.58096016619754e-05,"TGFB2/CCL7/IL1A/IL1B/ITGB2/CD74",6
"GO:0070302","GO:0070302","regulation of stress-activated protein kinase signaling cascade","7/72","198/18903",1.03064417860813e-05,0.000100189069971218,4.63436112348963e-05,"TGFB2/IL1A/IL1B/APP/FZD7/EGFR/CD27",7
"GO:0035909","GO:0035909","aorta morphogenesis","4/72","36/18903",1.03918342533901e-05,0.000100292414754841,4.6391414557921e-05,"TGFB2/EFNB2/JAG1/NOTCH1",4
"GO:0045589","GO:0045589","regulation of regulatory T cell differentiation","4/72","36/18903",1.03918342533901e-05,0.000100292414754841,4.6391414557921e-05,"TNFSF4/LGALS9/HLA-DRA/HLA-DRB1",4
"GO:0070304","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","6/72","132/18903",1.10781117622767e-05,0.000106521872593394,4.92729222149644e-05,"TGFB2/IL1A/IL1B/APP/FZD7/CD27",6
"GO:0002228","GO:0002228","natural killer cell mediated immunity","5/72","77/18903",1.11167067931981e-05,0.000106521872593394,4.92729222149644e-05,"LGALS9/HLA-A/HLA-B/HLA-E/KLRK1",5
"GO:0043380","GO:0043380","regulation of memory T cell differentiation","3/72","12/18903",1.13730621310499e-05,0.000108590482909633,5.0229781803738e-05,"TNFSF4/HLA-DRA/HLA-DRB1",3
"GO:0003230","GO:0003230","cardiac atrium development","4/72","37/18903",1.16179957349782e-05,0.000110535753748037,5.11295892927931e-05,"TGFB2/WNT11/NOTCH1/NOTCH2",4
"GO:0050864","GO:0050864","regulation of B cell activation","7/72","204/18903",1.25141040225298e-05,0.00011822303201566,5.46854286232862e-05,"IL7/IL10/TNFSF4/CD27/TNFRSF4/CD74/CD40",7
"GO:1901888","GO:1901888","regulation of cell junction assembly","7/72","204/18903",1.25141040225298e-05,0.00011822303201566,5.46854286232862e-05,"IL1B/THBS1/THBS2/APP/EFNA5/EPHA2/EPHA3",7
"GO:0002437","GO:0002437","inflammatory response to antigenic stimulus","5/72","79/18903",1.26061086618181e-05,0.000118674349261957,5.48941906270859e-05,"IL10/HLA-E/HLA-DRB1/NOTCH1/NOTCH2",5
"GO:0002369","GO:0002369","T cell cytokine production","4/72","38/18903",1.29475384396306e-05,0.000120618908449753,5.57936689339344e-05,"IL1B/TNFSF4/HLA-A/CCR2",4
"GO:0002724","GO:0002724","regulation of T cell cytokine production","4/72","38/18903",1.29475384396306e-05,0.000120618908449753,5.57936689339344e-05,"IL1B/TNFSF4/HLA-A/CCR2",4
"GO:0042092","GO:0042092","type 2 immune response","4/72","38/18903",1.29475384396306e-05,0.000120618908449753,5.57936689339344e-05,"IL10/TNFSF4/CCR2/CD74",4
"GO:0071674","GO:0071674","mononuclear cell migration","7/72","206/18903",1.33317291852964e-05,0.000123610803538569,5.71776045557696e-05,"CCL7/LGALS9/THBS1/APP/ICAM1/CCR2/KLRK1",7
"GO:0014068","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling","5/72","80/18903",1.34069116025806e-05,0.000123610803538569,5.71776045557696e-05,"TGFB2/EGF/IGF1/FN1/KIT",5
"GO:0070227","GO:0070227","lymphocyte apoptotic process","5/72","80/18903",1.34069116025806e-05,0.000123610803538569,5.71776045557696e-05,"IL10/LGALS9/EFNA1/CD27/CD74",5
"GO:0007249","GO:0007249","I-kappaB kinase/NF-kappaB signaling","8/72","288/18903",1.35500859875548e-05,0.000124503016111676,5.7590307784164e-05,"IL1A/IL1B/LGALS9/HLA-DRB1/CD36/CD74/CD40/CD4",8
"GO:0042742","GO:0042742","defense response to bacterium","9/72","382/18903",1.41619292391649e-05,0.000129524344050813,5.99129810055155e-05,"IL10/IL1B/HLA-A/HLA-E/CD36/EPHA2/KLRK1/CD4/NOTCH2",9
"GO:0045216","GO:0045216","cell-cell junction organization","7/72","208/18903",1.41931260346399e-05,0.000129524344050813,5.99129810055155e-05,"TGFB2/WNT11/IL1B/CDH1/CDH5/EFNB2/EPHA2",7
"GO:0045066","GO:0045066","regulatory T cell differentiation","4/72","39/18903",1.43858387544014e-05,0.000130837984332404,6.05206204868485e-05,"TNFSF4/LGALS9/HLA-DRA/HLA-DRB1",4
"GO:0043379","GO:0043379","memory T cell differentiation","3/72","13/18903",1.47445495798952e-05,0.00013364738690155,6.18201420864029e-05,"TNFSF4/HLA-DRA/HLA-DRB1",3
"GO:0050852","GO:0050852","T cell receptor signaling pathway","6/72","139/18903",1.48790031338614e-05,0.000134412004741247,6.21738248974753e-05,"ICOSLG/HLA-A/HLA-DQB1/HLA-DRB1/CD8A/CD8B",6
"GO:0007492","GO:0007492","endoderm development","5/72","83/18903",1.60495943514463e-05,0.000144339244068807,6.67657840818894e-05,"FN1/COL4A2/COL6A1/ITGB2/NOTCH1",5
"GO:0046328","GO:0046328","regulation of JNK cascade","6/72","141/18903",1.61393116737392e-05,0.000144339244068807,6.67657840818894e-05,"IL1A/IL1B/APP/FZD7/EGFR/CD27",6
"GO:0070555","GO:0070555","response to interleukin-1","6/72","141/18903",1.61393116737392e-05,0.000144339244068807,6.67657840818894e-05,"CCL7/IL1B/LGALS9/APP/IL1R2/CD40",6
"GO:0016049","GO:0016049","cell growth","10/72","493/18903",1.67369257673044e-05,0.000149186617387634,6.90079925848992e-05,"TGFB2/WNT11/IGF1/SPP1/FN1/APP/CDH1/EFNA5/EGFR/IL17RB",10
"GO:0032736","GO:0032736","positive regulation of interleukin-13 production","3/72","14/18903",1.87144805129109e-05,0.000165712710284291,7.66523276870662e-05,"TNFSF4/LGALS9/HLA-E",3
"GO:0090715","GO:0090715","immunological memory formation process","3/72","14/18903",1.87144805129109e-05,0.000165712710284291,7.66523276870662e-05,"TNFSF4/HLA-DRA/HLA-DRB1",3
"GO:0014065","GO:0014065","phosphatidylinositol 3-kinase signaling","6/72","145/18903",1.89187336463691e-05,0.000166970270964501,7.72340269012091e-05,"TGFB2/EGF/IGF1/FN1/EGFR/KIT",6
"GO:0043588","GO:0043588","skin development","8/72","302/18903",1.90757872435362e-05,0.000167307596128607,7.73900605510829e-05,"TGFB2/IL1A/COL1A1/COL1A2/JAG1/EGFR/EPHA2/NOTCH1",8
"GO:0033077","GO:0033077","T cell differentiation in thymus","5/72","86/18903",1.90816714183204e-05,0.000167307596128607,7.73900605510829e-05,"IL1A/IL1B/FZD7/FZD8/CD74",5
"GO:0043491","GO:0043491","protein kinase B signaling","7/72","218/18903",1.92222304096297e-05,0.000167991023417057,7.77061877351395e-05,"EGF/IGF1/IL1B/THBS1/EGFR/CD40/EPHA2",7
"GO:0032147","GO:0032147","activation of protein kinase activity","6/72","148/18903",2.12467714186131e-05,0.000183497978615785,8.48791089267751e-05,"TGFB2/WNT11/EGF/IGF1/EFNA5/EGFR",6
"GO:0002347","GO:0002347","response to tumor cell","4/72","43/18903",2.13378677055379e-05,0.000183497978615785,8.48791089267751e-05,"HLA-A/HLA-DRB1/NOTCH1/NOTCH2",4
"GO:1904037","GO:1904037","positive regulation of epithelial cell apoptotic process","4/72","43/18903",2.13378677055379e-05,0.000183497978615785,8.48791089267751e-05,"WNT11/CD40LG/THBS1/CD40",4
"GO:0002312","GO:0002312","B cell activation involved in immune response","5/72","88/18903",2.1338564788716e-05,0.000183497978615785,8.48791089267751e-05,"IL10/TNFSF4/CD40LG/CD40/NOTCH2",5
"GO:0033627","GO:0033627","cell adhesion mediated by integrin","5/72","88/18903",2.1338564788716e-05,0.000183497978615785,8.48791089267751e-05,"TGFB2/EFNA1/ICAM1/ITGB2/EPHA2",5
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","7/72","222/18903",2.16080999772163e-05,0.000185222147728023,8.56766432592499e-05,"IL10/IL1A/IL1B/TNFSF4/EFNB2/CD36/KLRK1",7
"GO:0016525","GO:0016525","negative regulation of angiogenesis","6/72","149/18903",2.20721544569989e-05,0.000188597421681936,8.72379152021511e-05,"TGFB2/COL4A2/THBS1/THBS2/CCR2/EPHA2",6
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","7/72","224/18903",2.28897090066989e-05,0.000194962188142772,9.01820114248889e-05,"EGF/IGF1/IL10/FZD7/EGFR/NOTCH1/NOTCH2",7
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","8/72","310/18903",2.30081417864166e-05,0.000195350773458721,9.03617560499172e-05,"WNT11/EGF/COL1A1/FZD4/FZD7/FZD8/EGFR/NOTCH1",8
"GO:0034116","GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/72","15/18903",2.33291477894165e-05,0.000195619101615092,9.04858743371297e-05,"IL10/IL1B/CD44",3
"GO:0045579","GO:0045579","positive regulation of B cell differentiation","3/72","15/18903",2.33291477894165e-05,0.000195619101615092,9.04858743371297e-05,"IL7/IL10/CD27",3
"GO:0030099","GO:0030099","myeloid cell differentiation","9/72","407/18903",2.33692344980137e-05,0.000195619101615092,9.04858743371297e-05,"KITLG/APP/HLA-DRB1/JAG1/KIT/CD74/EPHA2/CD4/NOTCH2",9
"GO:0032689","GO:0032689","negative regulation of interferon-gamma production","4/72","44/18903",2.34042980314739e-05,0.000195619101615092,9.04858743371297e-05,"IL10/TNFSF4/LGALS9/HLA-DRB1",4
"GO:0045840","GO:0045840","positive regulation of mitotic nuclear division","4/72","44/18903",2.34042980314739e-05,0.000195619101615092,9.04858743371297e-05,"EGF/IGF1/IL1A/IL1B",4
"GO:2000181","GO:2000181","negative regulation of blood vessel morphogenesis","6/72","151/18903",2.38004752636793e-05,0.000198312655690843,9.17318088783193e-05,"TGFB2/COL4A2/THBS1/THBS2/CCR2/EPHA2",6
"GO:0030183","GO:0030183","B cell differentiation","6/72","152/18903",2.47046100115262e-05,0.00020457552055841,9.46287693423956e-05,"IL7/IL10/CD40LG/CD27/KIT/NOTCH2",6
"GO:1901343","GO:1901343","negative regulation of vasculature development","6/72","152/18903",2.47046100115262e-05,0.00020457552055841,9.46287693423956e-05,"TGFB2/COL4A2/THBS1/THBS2/CCR2/EPHA2",6
"GO:0030890","GO:0030890","positive regulation of B cell proliferation","4/72","45/18903",2.56139344465196e-05,0.000210159590581077,9.72117454126721e-05,"IL7/TNFRSF4/CD74/CD40",4
"GO:1904646","GO:1904646","cellular response to amyloid-beta","4/72","45/18903",2.56139344465196e-05,0.000210159590581077,9.72117454126721e-05,"IGF1/APP/ICAM1/CD36",4
"GO:2000516","GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","4/72","45/18903",2.56139344465196e-05,0.000210159590581077,9.72117454126721e-05,"TNFSF4/LGALS9/HLA-DRA/HLA-DRB1",4
"GO:0051092","GO:0051092","positive regulation of NF-kappaB transcription factor activity","6/72","154/18903",2.65958868801795e-05,0.000217551111279029,0.000100630778664094,"IL1B/CD40LG/LGALS9/APP/CD36/CD40",6
"GO:0050727","GO:0050727","regulation of inflammatory response","9/72","414/18903",2.67158373983095e-05,0.00021786805999898,0.000100777386954429,"IGF1/IL10/IL1B/TNFSF4/APP/CDH5/HLA-E/HLA-DRB1/CCR2",9
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","6/72","155/18903",2.7584279152243e-05,0.000224268548380206,0.000103738006763938,"IGF1/IL7/IL1A/IL1B/THBS1/ICAM1",6
"GO:0042088","GO:0042088","T-helper 1 type immune response","4/72","46/18903",2.79728651905033e-05,0.000226057823211206,0.000104565656498425,"IL1B/TNFSF4/HLA-DRB1/CCR2",4
"GO:0046596","GO:0046596","regulation of viral entry into host cell","4/72","46/18903",2.79728651905033e-05,0.000226057823211206,0.000104565656498425,"LGALS9/HLA-DRB1/CD74/CD4",4
"GO:0061101","GO:0061101","neuroendocrine cell differentiation","3/72","16/18903",2.86343124529733e-05,0.000230708289223205,0.000106716783252902,"WNT11/JAG1/NOTCH1",3
"GO:0006959","GO:0006959","humoral immune response","8/72","320/18903",2.88611790432716e-05,0.000231839950218855,0.000107240246114142,"IL7/IL1B/HLA-A/HLA-E/HLA-DQB1/HLA-DRB1/NOTCH1/NOTCH2",8
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","7/72","233/18903",2.94597223960725e-05,0.000235941597578097,0.000109137510463376,"WNT11/SPP1/FN1/APP/CDH1/EFNA5/NOTCH1",7
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","7/72","234/18903",3.02768659557779e-05,0.000241764379045691,0.000111830905268992,"IL10/IL1A/IL1B/TNFSF4/EFNB2/CD36/KLRK1",7
"GO:0045601","GO:0045601","regulation of endothelial cell differentiation","4/72","47/18903",3.04872725087907e-05,0.000242004000417412,0.000111941744901477,"IL1B/CDH5/JAG1/NOTCH1",4
"GO:0140353","GO:0140353","lipid export from cell","4/72","47/18903",3.04872725087907e-05,0.000242004000417412,0.000111941744901477,"IL1A/IL1B/SPP1/FZD4",4
"GO:0001558","GO:0001558","regulation of cell growth","9/72","422/18903",3.1031486232474e-05,0.00024559727894315,0.000113603857376454,"TGFB2/WNT11/IGF1/SPP1/FN1/CDH1/EFNA5/EGFR/IL17RB",9
"GO:0046330","GO:0046330","positive regulation of JNK cascade","5/72","96/18903",3.25175379930413e-05,0.000256601630692146,0.000118694047349213,"IL1A/IL1B/APP/FZD7/CD27",5
"GO:0045747","GO:0045747","positive regulation of Notch signaling pathway","4/72","48/18903",3.31634307857693e-05,0.000260931040463986,0.00012069666583245,"TGFB2/JAG1/KIT/NOTCH1",4
"GO:0002690","GO:0002690","positive regulation of leukocyte chemotaxis","5/72","97/18903",3.41838931269137e-05,0.000268173641109677,0.000124046814394064,"CCL7/LGALS9/THBS1/CCR2/CD74",5
"GO:0016045","GO:0016045","detection of bacterium","3/72","17/18903",3.46752076197961e-05,0.000270446459429979,0.000125098132753181,"HLA-A/HLA-B/HLA-DRB1",3
"GO:0090713","GO:0090713","immunological memory process","3/72","17/18903",3.46752076197961e-05,0.000270446459429979,0.000125098132753181,"TNFSF4/HLA-DRA/HLA-DRB1",3
"GO:0035987","GO:0035987","endodermal cell differentiation","4/72","49/18903",3.60077046964687e-05,0.000280025135364132,0.000129528859914986,"FN1/COL4A2/COL6A1/ITGB2",4
"GO:0048638","GO:0048638","regulation of developmental growth","8/72","332/18903",3.74861064382459e-05,0.000290679836918537,0.000134457315152698,"IGF1/IL7/SPP1/FN1/APP/CDH1/EFNA5/NOTCH1",8
"GO:0061082","GO:0061082","myeloid leukocyte cytokine production","4/72","50/18903",3.90265473761833e-05,0.000301752814438904,0.000139579248768452,"TGFB2/KIT/CD36/CD74",4
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","8/72","336/18903",4.08013620384823e-05,0.000314569121693242,0.000145507579683517,"WNT11/EGF/COL1A1/APP/FZD4/FZD7/EGFR/NOTCH1",8
"GO:0030903","GO:0030903","notochord development","3/72","18/18903",4.14965423440003e-05,0.000319012100598719,0.000147562730880942,"WNT11/EFNA1/EPHA2",3
"GO:0048732","GO:0048732","gland development","9/72","441/18903",4.37131803198004e-05,0.000334972277042757,0.000154945294793107,"TGFB2/WNT11/EGF/IL10/CDH1/EGFR/EPHA2/NOTCH1/NOTCH2",9
"GO:0048863","GO:0048863","stem cell differentiation","7/72","248/18903",4.38223142907223e-05,0.000334972277042757,0.000154945294793107,"TGFB2/KITLG/FN1/EFNB1/JAG1/KIT/NOTCH1",7
"GO:0002204","GO:0002204","somatic recombination of immunoglobulin genes involved in immune response","4/72","53/18903",4.91963083477642e-05,0.000369730238927315,0.000171022991425664,"IL10/TNFSF4/CD40LG/CD40",4
"GO:0002208","GO:0002208","somatic diversification of immunoglobulins involved in immune response","4/72","53/18903",4.91963083477642e-05,0.000369730238927315,0.000171022991425664,"IL10/TNFSF4/CD40LG/CD40",4
"GO:0045190","GO:0045190","isotype switching","4/72","53/18903",4.91963083477642e-05,0.000369730238927315,0.000171022991425664,"IL10/TNFSF4/CD40LG/CD40",4
"GO:0046638","GO:0046638","positive regulation of alpha-beta T cell differentiation","4/72","53/18903",4.91963083477642e-05,0.000369730238927315,0.000171022991425664,"TNFSF4/LGALS9/HLA-DRA/HLA-DRB1",4
"GO:0048146","GO:0048146","positive regulation of fibroblast proliferation","4/72","53/18903",4.91963083477642e-05,0.000369730238927315,0.000171022991425664,"IGF1/FN1/EGFR/CD74",4
"GO:0052372","GO:0052372","modulation by symbiont of entry into host","4/72","53/18903",4.91963083477642e-05,0.000369730238927315,0.000171022991425664,"LGALS9/HLA-DRB1/CD74/CD4",4
"GO:0007254","GO:0007254","JNK cascade","6/72","172/18903",4.94340418799374e-05,0.000370479146267799,0.000171369407163911,"IL1A/IL1B/APP/FZD7/EGFR/CD27",6
"GO:0030593","GO:0030593","neutrophil chemotaxis","5/72","106/18903",5.23470636462524e-05,0.000391217748643162,0.000180962287168836,"TGFB2/CCL7/IL1B/ITGB2/CD74",5
"GO:0031214","GO:0031214","biomineral tissue development","6/72","174/18903",5.27230273270439e-05,0.000392933006440163,0.000181755699469546,"WNT11/IGF1/SPP1/COL1A1/COL1A2/NOTCH1",6
"GO:0051048","GO:0051048","negative regulation of secretion","6/72","175/18903",5.44319685397904e-05,0.000404545627679384,0.000187127251518918,"EGF/IL1B/LGALS9/CCR2/CD74/NOTCH1",6
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity","5/72","107/18903",5.47515578202722e-05,0.000404678869509064,0.000187188884065829,"LGALS9/ITGB2/HLA-E/CCR2/KIT",5
"GO:0003279","GO:0003279","cardiac septum development","5/72","107/18903",5.47515578202722e-05,0.000404678869509064,0.000187188884065829,"TGFB2/WNT11/JAG1/NOTCH1/NOTCH2",5
"GO:0003007","GO:0003007","heart morphogenesis","7/72","258/18903",5.62661033498707e-05,0.000414726842633706,0.00019183669006224,"TGFB2/WNT11/EFNA1/JAG1/EPHB4/NOTCH1/NOTCH2",7
"GO:0016055","GO:0016055","Wnt signaling pathway","9/72","456/18903",5.6602434526724e-05,0.000414726842633706,0.00019183669006224,"WNT11/EGF/COL1A1/APP/FZD4/FZD7/FZD8/EGFR/NOTCH1",9
"GO:0045861","GO:0045861","negative regulation of proteolysis","8/72","352/18903",5.66212337348941e-05,0.000414726842633706,0.00019183669006224,"IL10/COL6A3/THBS1/APP/EFNA1/IL1R2/CD27/CD44",8
"GO:1904645","GO:1904645","response to amyloid-beta","4/72","55/18903",5.69711173736059e-05,0.000414726842633706,0.00019183669006224,"IGF1/APP/ICAM1/CD36",4
"GO:2000107","GO:2000107","negative regulation of leukocyte apoptotic process","4/72","55/18903",5.69711173736059e-05,0.000414726842633706,0.00019183669006224,"KITLG/EFNA1/CD27/CD74",4
"GO:0032526","GO:0032526","response to retinoic acid","5/72","108/18903",5.72405265216371e-05,0.000414726842633706,0.00019183669006224,"WNT11/COL1A1/FZD4/FZD7/EPHA3",5
"GO:0003215","GO:0003215","cardiac right ventricle morphogenesis","3/72","20/18903",5.76567694008097e-05,0.000414726842633706,0.00019183669006224,"TGFB2/JAG1/NOTCH1",3
"GO:0007171","GO:0007171","activation of transmembrane receptor protein tyrosine kinase activity","3/72","20/18903",5.76567694008097e-05,0.000414726842633706,0.00019183669006224,"EGF/EFNA5/EGFR",3
"GO:0045655","GO:0045655","regulation of monocyte differentiation","3/72","20/18903",5.76567694008097e-05,0.000414726842633706,0.00019183669006224,"HLA-DRB1/CD74/CD4",3
"GO:0098543","GO:0098543","detection of other organism","3/72","20/18903",5.76567694008097e-05,0.000414726842633706,0.00019183669006224,"HLA-A/HLA-B/HLA-DRB1",3
"GO:0198738","GO:0198738","cell-cell signaling by wnt","9/72","458/18903",5.8541828093157e-05,0.000419967178539947,0.00019426066794774,"WNT11/EGF/COL1A1/APP/FZD4/FZD7/FZD8/EGFR/NOTCH1",9
"GO:0060828","GO:0060828","regulation of canonical Wnt signaling pathway","7/72","260/18903",5.90723241052505e-05,0.000422642788198365,0.000195498302091482,"WNT11/EGF/COL1A1/FZD4/FZD7/EGFR/NOTCH1",7
"GO:0042116","GO:0042116","macrophage activation","5/72","109/18903",5.98160109132663e-05,0.000425768067282113,0.000196943936020406,"IL10/THBS1/APP/ITGB2/CD74",5
"GO:0048015","GO:0048015","phosphatidylinositol-mediated signaling","6/72","178/18903",5.98265230582768e-05,0.000425768067282113,0.000196943936020406,"TGFB2/EGF/IGF1/FN1/EGFR/KIT",6
"GO:0045927","GO:0045927","positive regulation of growth","7/72","261/18903",6.05178446591085e-05,0.000429548616985154,0.000198692672940933,"TGFB2/IGF1/IL7/FN1/EFNA5/EGFR/NOTCH1",7
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity","4/72","56/18903",6.11776161320792e-05,0.000431946168637812,0.000199801688143273,"LGALS9/HLA-A/HLA-B/HLA-E",4
"GO:0043370","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","4/72","56/18903",6.11776161320792e-05,0.000431946168637812,0.000199801688143273,"TNFSF4/LGALS9/HLA-DRA/HLA-DRB1",4
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","5/72","111/18903",6.52348190951219e-05,0.000458180679665476,0.00021193676415858,"FN1/EFNA1/EFNA5/FZD4/FZD7",5
